"Title
All rights reserved. The book tags, ratings, classifications, and content-flagging methodology developed by RatedBooks.org constitute proprietary intellectual property. No person or organization may copy, scrape, extract, reproduce, adapt, aggregate, commercialize, or use this data for resale, subscription products, district-level services, or derivative works without the prior written permission of RatedBooks.org. Unauthorized commercial use is strictly prohibited and may result in legal action.",Author,Rating
Rabbit & Robot ,Andrew Smith,4
Queer: The Ultimate LGBTQ Guide for Teens,Kathy Belge and Marke Bieschke,4
Queer: A Graphic History,Meg-John Barker and Jules Scheele,4
"Queer, There, and Everywhere",Sarah Prager,4
Playing the Whore: The Work of Sex Work,Melissa Gira Grant,4
People We Meet on Vacation,Emily Henry,4
Pageboy,Elliot Page,4
Onyx Storm,Rebecca Yarros,4
One Last Stop,Casey McQuiston,4
Notes on a Silencing: A Memoir,Lacy Crawford,4
Not That Bad: Dispatches from Rape Culture,Roxane Gay,4
Nineteen Minutes,Jodi Picoult,4
Me Being Me Is Exactly as Insane as You Being You,Todd Hasak-Lowy,4
Margo Zimmerman Gets the Girl,Brianna R. Shrum and Sara Waxelbaum,4
Man O' War,Cory McCarthy,4
Love on the Brain,Ali Hazelwood,4
Like a Love Story,Abdi Nazemian,4
Let's Talk About It,Erika Moen and Matthew Nolan,4
Legend of the White Snake,Sher Lee,4
Last Night at the Telegraph Club,Malinda Lo,4
Juliet Takes a Breath: a graphic novel,Gabby Rivera,4
How Beautiful the Ordinary,Michael Cart,4
Hopeless,Colleen Hoover,4
"Here We Are, Feminism for the Real World",Kelly Jensen,4
Hell Followed with Us ,Andrew White,4
Gods & Monsters,Shelby Mahurin,4
Girls of Paper and Fire,Natasha NGan,4
Gender Queer,Maia Kobabe,4
Funny Story,Emily Henry,4
Fun Home,Alison Bechdel,4
Fourth Wing,Rebecca Yarros,4
Forever...,Judy Blume,4
Forever For a Year,B.T. Gottfred,4
Forbidden,Tabitha Suzuma,4
Fable for the End of the World,Ava Reid,4
Doing It!,Hannah Witton,4
Diary: A Novel,Chuck Palahniuk,4
Deal With It!,"Esther Drill, Heather McDonald, and Rebecca Odes",4
Dead Until Dark,Charlaine Harris,4
Cursor's Fury,Jim Butcher,4
Confess,Colleen Hoover,4
Camp,LC Rosen,4
Call Me By Your Name,Andre Aciman,4
Breathless,Jennifer Niven,4
Breakable,Tammara Webber,4
Blue is the Warmest Color,Jul Maroh,4
Because I'm Worth It ,Cecily von  Ziegesar,4
Beautiful Bastard,Christina Lauren,4
Are You My Mother: A Comic Drama,Alison Bechdel,4
