Book Reference #,Title,Author,Rating,Report Link
,They Poured Fire on Us from the Sky,Benjamin Ajak and Alephonsion Deng,4,https://drive.google.com/file/d/1VQw6f5yGqrwYZwg3FrFhp8TkmcKIvJiz/view?usp=drive_link
711,They Went Left,Monica Hesse,2,https://drive.google.com/file/d/1AgQGEsXZkLJ-PUtiK0AyeEtQLgURHOFx/view?usp=drive_link
730,"They, She, He, Me: Free to Be!",Maya Christina Gonzalez and Matthew Smith-Gonzalez,1,https://drive.google.com/file/d/1aGuw0YLF__WABny_uo-GlL4aC7yOsuEn/view?usp=drive_link
,Things We Hide from the Light,Lucy Score,5,https://tinyurl.com/wabvtynh
,Things We Left Behind,Lucy Score,5,https://drive.google.com/file/d/1NIr1VxkKbYcxqpeHMrlIpvFovMyvhVUC/view?usp=sharing
,Things We Never Got Over,Lucy Score,5,https://docs.google.com/presentation/d/1LzO_0iFVB_SMWoXxEtc8BeNpd0wr3oHTnfX9Topcvdk/edit?usp=drive_link
698,Thirteen Reasons Why,Jay Asher,3,https://drive.google.com/file/d/1uL0ZKvRCCVspb5PgBpLmYsLs4dOfmT2E/view?usp=drive_link
712,This Book Is Anti-Racist,Tiffany Jewell,2,https://drive.google.com/file/d/1N7jwINRudgfNRJFEGqdIv6hARV_-QEaO/view?usp=drive_link
691,This Book Is Gay,Juno Dawson,4,https://drive.google.com/file/d/1_XrRco1RSSAW0XnKgYcitxmYpZKkzcRL/view?usp=drive_link
732,This Book Is Not For You!,Shannon Hale,0,https://drive.google.com/file/d/1IjwwZpFYDR1CLzvrJeva9KAU_1qOYHIx/view?usp=drive_link
,This Boy,Lauren Myracle,4,https://drive.google.com/file/d/1Plwa5CZKDhMUPdDdYpkuy4eC6zi3NTSQ/view?usp=sharing
,This is How We Roll: A Queer Anthology,Edited by Rosiee Thor,2,https://drive.google.com/file/d/1BsFyTCSeQqmX1EjsD7ld4lvjazPZQoJ5/view?usp=sharing
692,This Is Kind of an Epic Love Story,Kacen Callender,4,https://drive.google.com/file/d/1CrTGE6icHkioyY_mbQVr1Q1orh7bfbbg/view?usp=drive_link
713,This Is Our Rainbow,Katherine Locke and Nicole Melleby,2,https://drive.google.com/file/d/1HuxhdwMBx-Xrfe0a7uFds9HTNjLuyvQV/view?usp=drive_link
,This is Why They Hate Us,Aaron H Aceves,4,https://drive.google.com/file/d/1DJrQH5RRra4Lq3UB9wSCywkqqqHFk4CK/view?usp=sharing
699,This One Summer,Mariko Tamaki,3,https://drive.google.com/file/d/1V5K7kXd3ErbtS9fVko19PA-GYiIVzZKT/view?usp=drive_link
714,Throne of Glass,Sarah J. Maas,2,https://drive.google.com/file/d/1114OnJaG9Fx1TD7xr0R4RvRhduVFJ4mw/view?usp=drive_link
,Throne of the Fallen,Kerri Maniscalco,5,https://drive.google.com/file/d/19tFwrhD2PcdT8B_KFchtNW6gci9lS7eB/view?usp=sharing
,Through My Window,Ariana Godoy,5,https://drive.google.com/file/d/14mW4WwuMPvyvxZLwOpu2nsTKxD8bu-J5/view?usp=drive_link
,Through the Rain,Ariana Godoy,5,https://drive.google.com/file/d/1sqhGh1yGOy7S9sEAHK8Wt9fRCf0hgxp5/view?usp=sharing
,Through You,Ariana Godoy,5,https://drive.google.com/file/d/1IWsGjgVlYdsjS0sW1WAdXK8Isfbz1DCG/view?usp=sharing
733,Thunderboy Jr.,Sherman Alexie,0,https://drive.google.com/file/d/1xkbtdxfEqIaqmlibQ69FsLcL29tLR8qX/view?usp=drive_link
715,Tiger Eyes,Judy Blume,2,https://drive.google.com/file/d/18pIOa5LJ1KUALTnmLAe61h8g50HJnOMr/view?usp=drive_link
693,Till Death,Jennifer L. Armentrout,4,https://drive.google.com/file/d/1uHBD68NkBQHO53BiinqMhs8VVPzj3OYD/view?usp=drive_link
694,Tilt,Ellen Hopkins,4,https://drive.google.com/file/d/1JWSxo4cQkVxzeG-9O4iC0l1wdriIj9tS/view?usp=drive_link
700,To All the Boys I've Loved Before,Jenny Han,3,https://drive.google.com/file/d/1mvjVxTbGb8_s3aL4BVlyAz_YFSwun9Rn/view?usp=drive_link
716,To Kill a Mockingbird,Harper Lee,2,https://drive.google.com/file/d/1Vhthp4G2azGZygozwbcgP_07sXMS66PA/view?usp=drive_link
717,Too Bright to See,Kyle Lukoff,2,https://drive.google.com/file/d/1qEG4rW1kC3Bw8thxL5Ly1H5BMiF7wvCu/view?usp=drive_link
718,Touch,Francine Prose,2,https://drive.google.com/file/d/1ex2hSGur67sZWtTE2HHXBe2aXLJ9xXsw/view?usp=drive_link
719,Touch Blue,Cynthia Lord,2,https://drive.google.com/file/d/1-ChJf9ZKe9gOuRFNvVCro_rKN4zrQ3hP/view?usp=drive_link
701,Tower of Dawn,Sarah J. Maas,3,https://drive.google.com/file/d/1-gVhkC6niXUhnxZpqHdZj-3oVCQoThuL/view?usp=drive_link
702,Traffick,Ellen Hopkins,3,https://drive.google.com/file/d/1QxCIia4fFu-99HUzdL7_iF33Je_toGkS/view?usp=drive_link
720,Trans Teen Survival Guide,Owl and Fox Fisher,2,https://drive.google.com/file/d/1ow-1GdYdc95KxffBIOM9W-no47K72Nj6/view?usp=drive_link
703,"Trans+: Love, Sex, Romance, and Being You",Kathryn Gonzalez and Karen Rayne,3,https://drive.google.com/file/d/1mcV298IIZQmzQwH2SnlpVccbRSZZ6wm-/view?usp=drive_link
721,Transmogrify!: 14 Fantastical Tales of Trans Magic,Edited by G. Haron Davis,2,https://drive.google.com/file/d/1YHskyPP6ZAKixw4g5ON1pL2wAZJmlbLG/view?usp=drive_link
688,Triangles,Ellen Hopkins,5,https://drive.google.com/file/d/1NZK4eJ10bHZil_koP3021bYa7ST2SLCf/view?usp=drive_link
689,Tricks,Ellen Hopkins,5,https://drive.google.com/file/d/1qId_CTh6Xf6I5HoYD1R3fbJXiWY2Y7CP/view?usp=drive_link
,Trickster's Queen,Tamora Pierce,3,
,Trust in Me,Jennifer Armentrout writing as J. Lynn,4,https://drive.google.com/file/d/1krNrYOvTto2j8tf8D8AWOtgJR_oSm8eV/view?usp=sharing
705,TTFN,Lauren Myracle,3,https://drive.google.com/file/d/16CvbkDoBsU9L-6dRM7KPUHj6_5QwAHVz/view?usp=drive_link
722,TTYL,Lauren Myracle,2,https://drive.google.com/file/d/1wTN_exQolN7147fs-3VRyyygDhDMB9Ym/view?usp=drive_link
723,Turning 15 on the Road to Freedom,Lynda Blackmon Lowery,2,https://drive.google.com/file/d/1wJ-nKOWh9DcGPFJPNXlyUYiHriVZT7YZ/view?usp=drive_link
724,Twisted,Laurie Halse Anderson,2,https://drive.google.com/file/d/12kmHZ37b4lS8USow6buZpHhk6eugiL64/view?usp=drive_link
,Twisted Hate,Ana Huang,5,https://drive.google.com/file/d/1qrvsvzOpf9gjfJbhnVx6iHL05nvF_0-T/view?usp=drive_link
,Twisted Lies,Ana Huang,5,https://drive.google.com/file/d/1UlgtyMri9tbXOka6BVcHoVsM2ZliaOgK/view?usp=drive_link
,Twisted Love,Ana Huang,5,
,Twisted Palace,Erin Watt,4,https://drive.google.com/file/d/1qqaudoWxap8Y164uXbopNnVzPl3VhAVT/view?usp=drive_link
706,Two Boys Kissing,David Levithan,3,https://drive.google.com/file/d/1cGHWDJbOEajm61Cpel_Qgt6N_or6eiXo/view?usp=drive_link
690,Two More Days: An Anthology,Colleen Hoover and The Bookworm Box,5,https://drive.google.com/file/d/1Xm--tpvMMJqYOqkdkCdqhgIibhoySSUU/view?usp=drive_link
,Two Twisted Crowns,Rachel Gillig,4,https://drive.google.com/file/d/1NNDLawRHmQ4-gB9ToJnT7qDiCRMmR7B8/view?usp=sharing
735,Ugly Love,Colleen Hoover,4,https://drive.google.com/file/d/1zPftHBa45ysEB-4iyaVGf8HFdW9eqVMu/view?usp=share_link
738,Uncomfortable Conversations With a Black Boy,Emmanuel Acho,2,https://drive.google.com/file/d/1s_T_GgcuJvnFpBU8LsRfagJ20wZ_UWSP/view?usp=share_link
741,Unicorn Day,Diana Murray,0,https://drive.google.com/file/d/1Nx3u2huXQfnfexx1GJewUCJhvp6S0pCh/view?usp=share_link
740,Unicorns Are the Worst!,Alex Willan,1,https://drive.google.com/file/d/1UKiDAnmgAMFcopYx4zJ3Ph7j7_kWkv8I/view?usp=share_link
736,Unravel Me,Tahereh Mafi,3,https://drive.google.com/file/d/1QpPw3VAclgMez3UHHyq4-T3-Q0CIIVxQ/view?usp=share_link
744,Vampire Academy (Book 1),Richelle Mead,3,https://drive.google.com/file/d/1T6kmlLyC7fWuJMh2bxNE7YrS6GVNWLNN/view?usp=drive_link
743,Verity,Colleen Hoover,4,https://drive.google.com/file/d/1ZGzckmSYzsa7qS7s-yHKHVIPVxInjLJZ/view?usp=drive_link
749,Wait For You,Jennifer L. Armentrout as J. Lynn,4,https://drive.google.com/file/d/1_VB0kwtgQX28OANt-Tqi0JFpubnIBQlx/view?usp=drive_link
754,"Wait, WHAT?",Heather Corinna and Isabella Rotman,3,https://drive.google.com/file/d/1Mad5JPLVbdRVoSIdW0zICpamvcxeww72/view?usp=drive_link
,Walk the Edge,Katie McGarry,3,https://drive.google.com/file/d/1tPhGCmk_58p-ErAxX6Xe74CFNxnYKobp/view?usp=sharing
,Walking Disaster,Jamie McGuire,5,https://drive.google.com/file/d/1kKy1-Rq51O1amAjAF9zs7iN6m9GFUGfp/view?usp=drive_link
750,Water for Elephants,Sara Gruen,4,https://drive.google.com/file/d/1jH1NitScx7wS0-oNAk8RFjzE1cGGbVU1/view?usp=drive_link
788,Watercress,Andrea Wang,0,https://drive.google.com/file/d/1hqs4f8YSn4D04izuKYpceZKHNKegEZ7j/view?usp=drive_link
763,Wayward Son,Rainbow Rowell,2,https://drive.google.com/file/d/1kxuTkrUpGVsHaN4PXDjeJY1T-O6dFi9Z/view?usp=drive_link
,We Are Not Broken: A Memoir,George M Johnson,3,https://drive.google.com/file/d/13VZVVjMOCuEvBtwB0sqR-rRugQXlJ61h/view?usp=sharing
764,We Are Not Yet Equal,Carol Anderson,2,https://drive.google.com/file/d/1D5iLjxigon4Jhl6QtL_7HKHwz3Hd9mMv/view?usp=drive_link
755,We Are the Ants,Shaun David Hutchison,3,https://drive.google.com/file/d/1nwZ4U3zvE1m1Mgutn4Y2LxmNBU3DGB5p/view?usp=drive_link
,We Can't Keep Meeting Like This , Rachel Lynn Solomon,3,
765,We Need to Talk About Vaginas,Dr. Allison K. Rodgers,2,https://drive.google.com/file/d/1jYMnrIgO11BZGPI6F4M3xoVYq_z4xvNa/view?usp=drive_link
766,"We Rise, We Resist, We Raise Our Voices",Wade Hudson and Cheryl Willis Hudson,2,https://drive.google.com/file/d/1MjNbbHrx_TRG5-4Id7sPL6EOuGoyBM15/view?usp=drive_link
767,Weetzie Bat,Francesca Lia Block,2,https://drive.google.com/file/d/1NCn23cEoP0kel88ry-YKTPJTKn4SVHtI/view?usp=drive_link
756,Welcome to St. Hell: My Trans Teen Misadventure,Lewis Hancox,3,https://drive.google.com/file/d/1vUCm0XljOBCaamGr_UjJqZV9uTfleQOw/view?usp=drive_link
768,What About Will,Ellen Hopkins,2,https://drive.google.com/file/d/1V3XxVVj4Io6HK3JKlIy5ZcN5jbLIbFNy/view?usp=drive_link
778,What Are Your Words?,Katherine Locke,1,https://drive.google.com/file/d/1JXsw644Dq66mKDwF5jZPK906Vt2HwP-O/view?usp=drive_link
751,What Girls Are Made Of,Elena K. Arnold,4,https://drive.google.com/file/d/1xmnVWBGiys5UWkyRcJPRzbsLqQnXa_LD/view?usp=drive_link
789,"What if, Pig?",Linzie Hunter,0,https://drive.google.com/file/d/1oXuNkkm4_JYo8eYCZ6hmOx7CeOoMJqvi/view?usp=drive_link
,What My Girlfriend Doesn't Know,Sonya Sones,2,https://drive.google.com/file/d/1DLL4AtJ3_OOeVwaPx6QZ2FcsQK_Oj7UA/view?usp=sharing
757,What My Mother Doesn't Know,Sonya Sones,3,https://drive.google.com/file/d/1Bs2-inDMzdXi6W7l7Q492Xv8BOzUmMwb/view?usp=drive_link
779,What Riley Wore,Elena K. Arnold,1,https://drive.google.com/file/d/1MifGtAt_KrfQoXf6MjpYqPokztpJVSqm/view?usp=drive_link
780,What Was Stonewall?,Nico Medina,1,https://drive.google.com/file/d/1JueKW4p85dNqKucArpxUyGOPU3R9N5z1/view?usp=drive_link
769,What's the T?: The Guide to All Things Trans and/or Nonbinary,Juno Dawson,2,https://drive.google.com/file/d/1yr4eWA-q1Mev1SRFwL-FHkl-EAmVd7XN/view?usp=drive_link
781,When Aidan Became A Brother,Kyle Lukoff,1,https://drive.google.com/file/d/1uHfXYVDMB6aSHDvykBhpv-UjZhHOERWl/view?usp=drive_link
,When He Was Wicked,Julia Quinn,4,https://drive.google.com/file/d/1yLdzfUJXvbHdojdROboQI13AtpBJyCGC/view?usp=drive_link
790,When I Grow Up,Julie Chen,0,https://drive.google.com/file/d/1nNSsTXQRyGCf2u_68hOUqTTJTp_kHnRo/view?usp=drive_link
770,When I Was the Greatest,Jason Reynolds,2,https://drive.google.com/file/d/1hNPIRqkWWsQHxE8s2y8ZZXK7UDzQPoHB/view?usp=drive_link
,When It's Real,Erin Watt,4,https://drive.google.com/file/d/1C6VWJx3GEEwZMuZqQ9U-TI6DT3pz5HEk/view?usp=sharing
782,When Stars Are Scattered,Victoria Jamieson and Omar Mohamed,1,https://drive.google.com/file/d/1FdcTAqrgMcZNu12IiPsgq7WjnlWjPa7E/view?usp=drive_link
783,When Wilma Rudolph Played Basketball,Mark Weakland,1,https://drive.google.com/file/d/1QK7F9B0Oh-zC8vDkm3UzDnVgTGiZrlHe/view?usp=drive_link
771,Where Did I Come From?,Peter Mayle,2,https://drive.google.com/file/d/1FqWoAsSAl0RfNZ1YvvCqi3wx8zSh14F7/view?usp=drive_link
758,Where I End and You Begin,Preston Norton,3,https://drive.google.com/file/d/1rKBMYtEgL6at9Y1W2l7x1_kOv8n3PiQO/view?usp=drive_link
759,Where the Crawdads Sing,Delia Owens,3,https://drive.google.com/file/d/1VSv4wYEqcgjtyVuCwLOaGWe4RhXvWDBK/view?usp=drive_link
,White Bird: A Wonder Story Graphic Novel,R.J. Palacio,1,https://drive.google.com/file/d/1IMrQ-nlt4Jr0OLTY-mFdl6cTvxmXITeo/view?usp=sharing
,White Fragility: Why It's So Hard for White People to Talk About Racism,Robin Diangelo,2,https://drive.google.com/file/d/1ptqWRgPvEIOtt4Y2ZTjmxl8OgSZKNKq3/view?usp=sharing
772,White Fragility: Why It's So Hard For White Poeple to Talk About Racism,Robin Diangelo,2,https://drive.google.com/file/d/1T4RCMa7-dGf_kMNBRZZLJl5lGHzoILFj/view?usp=drive_link
760,White Hot Kiss: The Dark Elements Book 1,Jennifer L. Armentrout,3,https://drive.google.com/file/d/1DWUWOxipTjyHH5Bzhs1T0UVyzaShHpE0/view?usp=drive_link
784,Who Are You?: the Kid's Guide to Gender Identity,Brook Pessin-Whedbee,1,https://drive.google.com/file/d/1DvFoZZMGyq4FpvGy5cvsLenI7NeKMSbK/view?usp=drive_link
785,Who Has What? All About Girls' Bodies and Boys' Bodies,Robie H. Harris,1,https://drive.google.com/file/d/1C6BEiRKWbTAbKiJY9VOEjjQkRwVxSxvZ/view?usp=drive_link
773,Who Was Elvis Presley?,Geoff Edgers,2,https://drive.google.com/file/d/1-JpgLNTSY1Sl-VNukl9h6TU4rUdMcFkT/view?usp=drive_link
,Why Fish Don’t Exist,Lulu Miller,4,
752,Wicked: The Life and Times of the Wicked Witch of the West,Gregory Maguire,4,https://drive.google.com/file/d/1C2KJ2FrGm2-FwHKDqmg9TriycaiGwI5Z/view?usp=drive_link
786,Willowmere,Andrea Cox Christen,1,https://drive.google.com/file/d/1mtbheQX53NwfWRIynkRY9AI215W7OuqG/view?usp=drive_link
774,Wingless,Catherine Witzaney,2,https://drive.google.com/file/d/1Jg-4KNyuYyaxJFsRfpUUw5Q5V0njw_Sb/view?usp=drive_link
761,Wintergirls,Laurie Halse Anderson,3,https://drive.google.com/file/d/1JJEK9JuPEi4duxFTA-sO-uS2JdPBQkNC/view?usp=drive_link
762,Without Merit,Colleen Hoover,3,https://drive.google.com/file/d/1safhOUc7HDwmMvLVmXHkWFVWSAkx_tUt/view?usp=drive_link
775,Woke: A Young Poet's Call to Social Justice,"Mahogany L. Browne, Elizabeth Acevedo, and Olivia Gatwood",2,https://drive.google.com/file/d/1I2M7Uke4Fn3iUuZttcl_Gfxin5k8PN5v/view?usp=drive_link
,Wolfsong,TJ Klune,5,
,Wolfsong,TJ Klune,5,
753,Working It: Sex Workers on the Work of Sex,Edited by Matilda Bickers with peech breshears and Janis Luna,4,https://drive.google.com/file/d/1lKvKN0oa9cAvIwtAxnD8UHuh0SWxiOoe/view?usp=drive_link
776,World Made of Glass,Ami Polonsky,2,https://drive.google.com/file/d/1K0cXEeby3hdLRJSno7Khrt8G51c9tAYe/view?usp=drive_link
787,Wow In The World: The How and Wow of the Human Body: From Your Tongue to Your Toes and All te Guts in Between,Mindy Thomas and Guy Raz,1,https://drive.google.com/file/d/1DRcjv84m05RsPlFOy09HjRS5Biot8L0P/view?usp=drive_link
,"Yes, Please",Amy Poehler,4,https://drive.google.com/file/d/1vjP4tHoTif_2q_6INAWROghR_CQNZCF6/view?usp=sharing
794,Yolk,Mary H. K. Choi,3,https://drive.google.com/file/d/1UydhFeCb902ZgkMrZs0lSH90HTC2ZkLI/view?usp=drive_link
791,YOLO,Lauren Myracle,4,https://drive.google.com/file/d/1fQ9I10wQFMrQ53ztdWpyWwKv7u9GPI5_/view?usp=drive_link
799,"You Be You!: The Kid's Guide to Gender, Sexuality, and Family",Jonathan Branfman,2,https://drive.google.com/file/d/1pnv6mBTIuDXYCMFixMHo208q1SbvXHKK/view?usp=drive_link
,You Before Anyone Else,Julie Cross and Mark Perini,3,https://drive.google.com/file/d/1-vx83FUNSROH9HyYGpqUQM5KWfj_fuiC/view?usp=drive_link
801,"You Don't Know Everything, Jilly P!",Alex Gino,1,https://drive.google.com/file/d/1ZqBeGyw8Xl3cN9-9IRJkEcWIpKVVk_qD/view?usp=drive_link
796,"You Know Sex: Bodies, Gender, Puberty, and Other Things!",Cory Silverberg and Fiona Smyth,3,https://drive.google.com/file/d/1pRKpXuuIWfvQ71BDGkr23-GtBi1UCY66/view?usp=drive_link
803,You Matter,Christian Robinson,0,https://drive.google.com/file/d/1ccXxW13ZOAn0wIRABB3jYp8t50CfMO-Z/view?usp=drive_link
802,You Need to Chill!,Juno Dawson,1,https://drive.google.com/file/d/14kZI6VxBOSNm0DuWpnWpnMRCfisW0Xfi/view?usp=drive_link
800,"You Only Live Once, David Bravo",Mark Oshiro,2,https://drive.google.com/file/d/19tJk2gTm4gGKPZ-VpmildwsQ9Dv1gbRR/view?usp=drive_link
797,You Too?,Janet Gurtler,3,https://drive.google.com/file/d/1BayZaufm9OSeCJ_aQy5ylKdAoJAMbd19/view?usp=drive_link
792,You: A Novel,Caroline Kepnes,4,https://drive.google.com/file/d/1TNY-p0ympihURSraOGmYhAYdpbbzIruM/view?usp=drive_link
,Your Fault,Mercedes Ron,4,
,Yours Truly,Abby Jimenez,4,https://drive.google.com/file/d/1gWkFgCfO_rvunBn5MGNXVFdIUIfJH4TI/view?usp=drive_link
