Book Reference #,Title,Author,Rating,Report Link
91,The Bare Naked Book,Kathy Stinson,2,https://drive.google.com/file/d/1kHDdKS59GNOclEM9ComBh3xalWn0lgJn/view?usp=drive_link
,The Bazaar of Bad Dreams,Stephen King,5,https://drive.google.com/file/d/1_pUrAM9OFy-nYuBIDT2wyBr4PbcJOx7p/view?usp=sharing
,The Beats: A Graphic History,Harvey Pekar,4,
81,The Best Laid Plans,Cameron Lund,3,https://drive.google.com/file/d/1HRu0w2OrEQf7HlCqnijNDT69QqOuvNXZ/view?usp=drive_link
99,The Big Bath House,Kyo Maclear,2,https://drive.google.com/file/d/1PMRlvapmIf5WSdM1KryRaolU4EWby5Tj/view?usp=drive_link
,The Big Reveal,Jen Larson,3,https://drive.google.com/file/d/1H1Yk6Dw6FxWIGV64dMKnrfIy9CgKYyyY/view?usp=sharing
,The Black Cat: Poe Prophecies,P. Anastasia,3,
83,The Black Flamingo,Dean Atta,3,https://drive.google.com/file/d/1SejjnN81hIEacKXv0aDbFXWWiQIocDgX/view?usp=drive_link
102,The Black Friend: On Being a Better White Person,Frederick Joseph,2,https://drive.google.com/file/d/1-4loQ_I_e1kzF-4c9VZ7-fqoymfurYCz/view?usp=drive_link
84,The Blood Runs Like a River Through My Dreams,Nasdijj,3,https://drive.google.com/file/d/1rKCJjmJWiKC0f7hJBab8b89Uv12XEeGu/view?usp=drive_link
77,The Bluest Eye,Toni Morrison,4,https://drive.google.com/file/d/1dW3mtFekpx9e7v9EKQZzTGGayNMjDGfx/view?usp=drive_link
85,The Body: A Guide for Occupants,Bill Bryson,3,https://drive.google.com/file/d/1xT7_ccqVs8-UclIV-N2tQdzDuZcVczcR/view?usp=drive_link
106,The Boy and Girl Who Broke the World,Amy Reed,2,https://drive.google.com/file/d/1LgXaoaXzkCYzyQFNbOD5EhcoT2mygaXs/view?usp=drive_link
127,"The Boy, The Mole, The Fox And The Horse",Charlie Mackesy,0,https://drive.google.com/file/d/13t4veJpnmJaTbF9zdMrmFibbLm4um6eo/view?usp=drive_link
,The Breadwinner,Deborah Ellis,2,
109,The Breakaways,Cathy G. Johnson,2,https://drive.google.com/file/d/1Zt0ERyOA7bFyrOvZSCeATQ6znczhlt7Q/view?usp=drive_link
,The Brightest Night,Jennifer Armentrout,5,https://drive.google.com/file/d/1R8jrHbrJgZtDv-h0mN3rXcjW1rLjzZde/view?usp=sharing
143,The Carnival at Bray,Jessie Ann Foley,4,https://drive.google.com/file/d/1ITqGUsFcQcclVRJlmzx-KuMhUzvRQRVX/view?usp=drive_link
,The Certainty of Violet and Luke,Jessica Sorensen,4,https://drive.google.com/file/d/1iLSpamjfpY3gDaAs5LSX0k7kUS5VHrOR/view?usp=drive_link
153,The Circle,Dave Eggers,3,https://drive.google.com/file/d/1mIQBCM9P72zOVPPjoH5-MClO8QV-nTcY/view?usp=drive_link
,The Coincidence of Callie and Kayden,Jessica Sorensen,4,https://drive.google.com/file/d/1Es6q3uHI63aMgGPrna9poq5atyap_LS2/view?usp=drive_link
171,The Color of Earth,Kim Dong Hwa,2,https://drive.google.com/file/d/1mL2zlbOuxEgDzZqNLci1z4zMkIeE7pG3/view?usp=drive_link
154,The Color Purple,Alice Walker,3,https://drive.google.com/file/d/1JVKhiVeexgOzH9V7yIX5F75PEHEEs1bd/view?usp=drive_link
144,The Complete Idiot's Guide to Tantric Sex,Dr. Judy Kurianksy,4,https://drive.google.com/file/d/1bgPFaX21SgCgXrSfrjIJVPBMiQNZxyHF/view?usp=drive_link
145,The Crown of Gilded Bones: A Blood and Ash Novel: Book 3,Jennifer L. Armentrout,4,https://drive.google.com/file/d/1PE_E7XWwEm82ADGmD3mlZzb33x3hIlJu/view?usp=drive_link
,The Day of the Jackal,Frederick Forsyth,4,https://drive.google.com/file/d/1RxtNcBM8sSXlaoWmUIPmApBV44vlK6qc/view?usp=sharing
215,The Day You Begin,Jacqueline Woodson,0,https://drive.google.com/file/d/1E22yNOGQWRSJVxlfHsFqIXmUVRqCOdb3/view?usp=sharing
200,The Deep and Dark Blue,Niki Smith,2,https://drive.google.com/file/d/1AKyVYBJ16irZ05U8KUYuTP0Ee2-8gMAH/view?usp=sharing
,The Door of No Return,Kwame Alexander,2,https://drive.google.com/file/d/11FekYajhCi9pHalQvpXh7w7vkObSP6bL/view?usp=sharing
187,The Duff,Kody Keplinger,4,https://drive.google.com/file/d/1J2e28Bjc87nOLn6cSP-BCIgCwzsEU8Ui/view?usp=sharing
,The Edge of Us,Jamie McGuire,4,https://drive.google.com/file/d/15ziFEHq3uDEUV32P-_OfaY53Yw9Va7gp/view?usp=drive_link
224,"The Every Body Book: the LGBTQ+ Inclusive Guide for Kids About Sex, Gender, Bodies, and Families","Rachel E. Simon, LCSW",3,https://drive.google.com/file/d/1H-Lysp3QyljHXUJGnwoq3OOMeuNFoxoH/view?usp=drive_link
262,The Family Book,Todd Parr,1,https://drive.google.com/file/d/1fUvKTvhLEOg4IhuYgtxGF2zw4GKyOp0D/view?usp=drive_link
245,The Fault in Our Stars,John Green,3,https://drive.google.com/file/d/1LiJVDzn6QWWUQvWIjXHCmzitPUl8ZXXK/view?usp=drive_link
247,The Female of the Species,Mindy McGinnis,3,https://drive.google.com/file/d/1hMDtGVrPwbFaZ-hx2b7sbt65JKc29BBN/view?usp=drive_link
251,The Fixer,Bernard Malamud,3,https://drive.google.com/file/d/1MFPy6XpnDTgoZhd7WRrz9e4WGAHW6H15/view?usp=drive_link
240,The Freedom Writers Diary,The Freedom Writers with Erin Gruwell,4,https://drive.google.com/file/d/16xZxbRaZdZ4niOQbSH2y6Kf6kmd1xjIN/view?usp=sharing
,The Friend Zone,Abby Jimenez,4,https://drive.google.com/file/d/1a_sDQCBZVxz2YI8hH6U2UYO-1WXY88Vj/view?usp=sharing
290,The GayBC's,M.L. Webb,2,https://tinyurl.com/y5xtcbtx
,The Gender Binary is a Big Lie: Infinite Identities Around the World ,Lee Wind,4,https://drive.google.com/file/d/1-V-GbGlw9CFN6F82WTKLsIE9FDEmOfO5/view?usp=sharing
,The Gender Game,Bella Forrest,3,
280,The Gentleman's Guide to Vice and Virtue: Montague Siblings Book 1,Mackenzi Lee,3,https://tinyurl.com/3nxmst68
275,The Gift,Danielle Steel,4,https://tinyurl.com/2mrjz6dv
283,The Girl Who Fell From the Sky,Heidi W. Durrow,3,https://tinyurl.com/ywcneste
296,The Girl Who Knew Too Much,Tiffany Brooks,2,https://tinyurl.com/2u7nvred
,The Glass Castle,Jeanette Wells,4,https://drive.google.com/file/d/1isdnSup7A3jTgol2W9Vjgzs35MbMMtvg/view?usp=drive_link
297,The Glass Menagerie,Tennessee Williams,2,https://tinyurl.com/yc6h4sjn
,The Goal,Elle Kennedy,5,https://drive.google.com/file/d/1YSqFeY3QlQcakrWdms6avvJU-cNW1el1/view?usp=sharing
302,The Good Hair Day,Christian Trimmer,1,https://tinyurl.com/4taw5cmu
314,The Handmaid's Tale,Margaret Atwood,4,https://drive.google.com/file/d/1kBX65NL0a3FFvMMoCgtZ7coTj_tiKBHz/view?usp=drive_link
315,The Handmaid's Tale the graphic novel,Margaret Atwood adapted by Renee Nault,4,https://drive.google.com/file/d/1wfciPLhTPbqXhbQ1Vm4j05ZP4MAVnTMW/view?usp=drive_link
316,The Handsome Girl and Her Beautiful Boy,B.T. Gottfred,4,https://drive.google.com/file/d/1aPIW9AwfyUgoN1pFgVsTcNhP0NjQUs2d/view?usp=drive_link
341,The Harvey Milk Story,Kari Krakow,1,https://drive.google.com/file/d/1V2RQjUcT5y7gFooCRr9E31ejcpLwoBRf/view?usp=drive_link
323,The Hate U Give,Angie Thomas,3,https://drive.google.com/file/d/1j97-JOh5Xv_QoPm28KhU2j-BKUXdDxgK/view?usp=drive_link
317,The Haters,Jesse Andrews,4,https://drive.google.com/file/d/15XYiFW9nUUEG6SJ8xtWl57o2SyCye5Ju/view?usp=drive_link
